attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.95,96.0,3.4,0.0,0.4,0.2,True,1000
installment_rate_pct,2,HIGH,HIGH,3.29,48.0,42.6,0.3,8.4,0.7,True,1000
credit_amount,3,HIGH,HIGH,3.6,60.5,39.3,0.1,0.0,0.1,True,1000
duration_months,4,HIGH,HIGH,3.62,64.0,35.0,0.6,0.3,0.1,True,1000
purpose,5,MEDIUM,MEDIUM,1.74,0.0,50.2,10.6,1.7,37.5,True,1000
credit_history,6,MEDIUM,HIGH,3.66,66.5,33.5,0.0,0.0,0.0,False,1000
savings_account_bonds,7,MEDIUM,MEDIUM,2.81,4.2,85.7,3.3,0.1,6.7,True,1000
employment_since,8,MEDIUM,MEDIUM,3.05,5.7,93.8,0.2,0.2,0.1,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.54,1.8,79.4,4.4,0.1,14.3,True,1000
property,10,MEDIUM,MEDIUM,2.57,0.1,72.9,18.6,0.7,7.7,True,1000
age_years,11,MEDIUM,LOW,2.09,0.0,41.2,42.3,0.8,15.7,False,1000
personal_status_sex,12,MEDIUM,MEDIUM,1.66,0.0,33.9,32.1,0.1,33.9,True,1000
num_existing_credits,13,LOW,LOW,1.94,0.0,1.7,92.1,4.4,1.8,True,1000
housing,14,LOW,LOW,2.13,0.0,21.3,70.9,7.4,0.4,True,1000
foreign_worker,15,LOW,LOW,1.67,0.0,0.5,67.4,30.7,1.4,True,1000
other_installment_plans,16,LOW,NOT_MENTIONED,0.71,0.0,3.4,29.8,0.9,65.9,False,1000
num_dependents,17,LOW,LOW,1.37,0.0,1.7,65.7,0.3,32.3,True,1000
job,18,LOW,NOT_MENTIONED,1.35,0.6,26.8,25.4,1.2,46.0,False,1000
telephone,19,LOW,LOW,1.85,0.0,0.0,88.6,8.2,3.2,True,1000
present_residence_since,20,LOW,LOW,1.92,0.0,0.0,93.4,4.7,1.9,True,1000
